id,category,source_name,capabilities,metric
agent_memory:q1,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q10,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q11,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q12,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q13,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q14,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q15,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q16,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q17,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q18,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q19,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q2,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q20,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q3,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q4,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q5,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q6,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q7,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q8,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
agent_memory:q9,long_term_memory,agent-memory-benchmark,memory_write memory_recall cross_session_context,answer_exact_or_f1
bfcl_multi_turn:0,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:1,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:10,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:11,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:12,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:13,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:14,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:15,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:16,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:17,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:18,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:19,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:2,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:20,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:21,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:22,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:23,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:24,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:25,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:26,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:27,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:28,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:29,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:3,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:30,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:31,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:32,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:33,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:34,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:35,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:36,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:37,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:38,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:39,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:4,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
bfcl_multi_turn:40,multi_step_tool_calling,BFCL v3 multi-turn base,tool_selection argument_generation multi_step_execution,ordered_tool_sequence_match
